file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,0,4
style.css,2,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,1,23
style.css,3,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,1,23
style.css,4,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,1,16
style.css,5,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,0,0
style.css,6,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,0,0
style.css,7,css,4f160926,amz0004,2025-10-02,08:21:26,-07:00,2025-10-02T08:21:26-07:00,0,4
style.css,8,css,4f160926,amz0004,2025-10-02,08:21:26,-07:00,2025-10-02T08:21:26-07:00,1,23
style.css,9,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,15
style.css,10,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,42
style.css,11,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,12,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,13,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,5
style.css,14,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,45
style.css,15,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,16,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,17,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,2
style.css,18,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,12
style.css,19,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,2,17
style.css,20,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,2,39
style.css,21,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,2,39
style.css,22,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,23,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,24,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,4
style.css,25,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,6
style.css,26,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,17
style.css,27,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,20
style.css,28,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,13
style.css,29,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,15
style.css,30,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,31,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,32,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,12
style.css,33,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,43
style.css,34,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,20
style.css,35,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,36,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,37,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,11
style.css,38,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,45
style.css,39,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,20
style.css,40,css,738357a0,amz0004,2025-10-16,16:01:22,-07:00,2025-10-16T16:01:22-07:00,1,69
style.css,41,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,42,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,43,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,4
style.css,44,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,1,32
style.css,45,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,46,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,47,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,4
style.css,48,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,12
style.css,49,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,30
style.css,50,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,11
style.css,51,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,52,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,53,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,10
style.css,54,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,12
style.css,55,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,29
style.css,56,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,18
style.css,57,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,7
style.css,58,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,59,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,60,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,11
style.css,61,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,18
style.css,62,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,14
style.css,63,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,64,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,65,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,9
style.css,66,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,12
style.css,67,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,58
style.css,68,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,6
style.css,69,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,70,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,71,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,7
style.css,72,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,12
style.css,73,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,26
style.css,74,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,15
style.css,75,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,76,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,77,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,10
style.css,78,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,8
style.css,79,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,80,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,81,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,1
style.css,82,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,13
style.css,83,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,15
style.css,84,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,2,17
style.css,85,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,86,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,0
style.css,87,css,9851b038,amz0004,2025-10-08,16:05:08,-07:00,2025-10-08T16:05:08-07:00,0,10
